Date,Profile,Job ID,Job Title,Company,Location,Match Score,Verdict,AI Verdict Summary,Status,Form Answers,Resume Path,Job URL
2026-07-06 12:42:45,adeniyi,4437168436,AI Infrastructure & Platform Operations Engineer (remote in the EU),Mirantis,"Berlin, Berlin, Germany",0,Error Parsing,Failed to calculate match score,Skipped - Low Match (0 < 75),,,https://www.linkedin.com/jobs/view/4437168436/
2026-07-06 12:43:13,adeniyi,4433938592,Principal Machine Learning Engineer (Remote),SoTalent,United States,49,Weak Fit,"The candidate demonstrates foundational experience in Machine Learning and AI engineering, including hands-on work with LLMs (OpenAI, Google Gemini) and NLP for chatbots, which aligns with agentic AI concepts. They also have experience building production-grade backend systems, data pipelines, and optimizing APIs. However, the candidate's professional experience of approximately two years, augmented by freelance and internship roles, falls significantly short of the ""Principal"" level requirements for this role. Key missing areas include extensive experience in leading complex, cross-team initiatives, defining large-scale AI system architectures, designing multimodal (voice) AI, and developing advanced AI evaluation frameworks, safety systems, and guardrails for production agentic AI systems at the required scale.",Skipped - Low Match (49 < 75),,,https://www.linkedin.com/jobs/view/4433938592/
2026-07-06 12:43:30,adeniyi,4437158771,AI Infrastructure & Platform Operations Engineer (remote in the EU),Mirantis,"Barcelona, Catalonia, Spain",0,Error Parsing,Failed to calculate match score,Skipped - Low Match (0 < 75),,,https://www.linkedin.com/jobs/view/4437158771/
2026-07-06 12:43:38,adeniyi,4437164526,AI Infrastructure & Platform Operations Engineer (remote in the EU),Mirantis,"Prague, Prague, Czechia",0,Error Parsing,Failed to calculate match score,Skipped - Low Match (0 < 75),,,https://www.linkedin.com/jobs/view/4437164526/
2026-07-06 12:43:48,adeniyi,4437171506,Remote Senior Python Engineer,Turing,"Austin, TX",0,Error Parsing,Failed to calculate match score,Skipped - Low Match (0 < 75),,,https://www.linkedin.com/jobs/view/4437171506/
2026-07-06 16:55:37,adeniyi,4436224206,AI Fullstack Engineer,Darwin Recruitment,"Berlin, Berlin, Germany",0,Error Parsing,Failed to calculate match score,Skipped - Low Match (0 < 75),,,https://www.linkedin.com/jobs/view/4436224206/
2026-07-06 16:55:51,adeniyi,4437416239,AI/ML Engineer,Macrosoft Pakistan,Pakistan,0,Error Parsing,Failed to calculate match score,Skipped - Low Match (0 < 75),,,https://www.linkedin.com/jobs/view/4437416239/
2026-07-06 17:01:16,adeniyi,4428723497,Python Developer (with Salesforce),Compri Consulting,"Denver, CO",65,Fair Match,"The candidate demonstrates strong senior-level Python development experience and has expertise in AI, SQL, and CI/CD, aligning with some key requirements. However, they lack experience with Salesforce APEX development and Lightning Web Components, which are crucial for this role. Their experience with GitHub is present, but GitLab is not explicitly mentioned.",Skipped - Low Match (65 < 75),,,https://www.linkedin.com/jobs/view/4428723497/
2026-07-06 17:01:30,adeniyi,4436224206,AI Fullstack Engineer,Darwin Recruitment,"Berlin, Berlin, Germany",0,Error Parsing,Failed to calculate match score,Skipped - Low Match (0 < 75),,,https://www.linkedin.com/jobs/view/4436224206/
2026-07-06 17:01:45,adeniyi,4436218510,Backend Developer-Python,Ikon Tech,United States,0,Error Parsing,Failed to calculate match score,Skipped - Low Match (0 < 75),,,https://www.linkedin.com/jobs/view/4436218510/
2026-07-06 17:01:59,adeniyi,4433965462,"Software Engineer - Angular, Python",Oliver Bernard,United Kingdom,0,Error Parsing,Failed to calculate match score,Skipped - Low Match (0 < 75),,,https://www.linkedin.com/jobs/view/4433965462/
2026-07-06 17:02:18,adeniyi,4437400725,"Senior Full-Stack Engineer, AI-Native",Zaigo,Argentina,0,Error Parsing,Failed to calculate match score,Skipped - Low Match (0 < 75),,,https://www.linkedin.com/jobs/view/4437400725/
